id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number,metadata_fccs_number
SF11C21345120013189110,SF11E118984,47.155,-122.042,WF,100.0,201508010000Z,10.0,WA,USA,53053,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,5.01999087839,2.26019249428,0.956265305831,2.4718033562,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1342600641.398066,8.999251000000001,10.619108999999998,103.56563900000006,1275.8127019999997,5.0887110000000035,1.5066219999999997,1.701603000000001,0.8068930000000005,24.460439,Urban,0.0,0,0
SF11C21345120013189111,SF11E118984,47.155,-122.042,WF,100.0,201508010000Z,10.0,WA,USA,53053,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,1.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,5.01999087839,2.26019249428,0.956265305831,2.4718033562,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1342600641.398066,8.999251000000001,10.619108999999998,103.56563900000006,1275.8127019999997,5.0887110000000035,1.5066219999999997,1.701603000000001,0.8068930000000005,24.460439,Urban,0.0,0,52
