id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs,fccs_number
RX154,RXFires,37.704,-94.098,RX,1.0,201608010000Z,10.0,MO,USA,29217,2810015000,0.2,0.5,0.5,1.0,0.5,0.0,0.3,0.18,0.0,0.4,0.12,10.0,12.0,12.0,22.0,130.0,150.0,2.41223947772,0.516278441374,0.154706245494,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,158713.078388,0.028708000000000004,0.03387,0.31405400000000006,4.913335,0.015833,0.006449000000000002,0.0051940000000000024,0.003024,0.07469999999999995,Bur oak savanna,13.51,154,154
RX155,RXFires,44.165275,-71.466282,RX,1.0,201608010000Z,10.0,NH,USA,33009,2810015000,0.5,1.0,0.5,1.5,0.4,0.0,0.08,0.05,2.75,3.0,0.0,10.0,12.0,12.0,22.0,130.0,150.0,6.69828650186,10.3520394976,5.36232785483,13.6959604751,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,590630.324655,0.3097609999999999,0.3655220000000001,3.778303,32.911489,0.18044400000000005,0.030457,0.06160500000000001,0.021938999999999997,0.88553,Red spruce - Balsam fir forest,7.57,155,155
RX157,RXFires,31.478,-93.96,RX,1.0,201608010000Z,10.0,TX,USA,48403,2810015000,1.0,1.3,1.3,0.7,0.7,0.7,2.89,0.08,0.9,1.0,0.03,10.0,12.0,12.0,22.0,130.0,150.0,6.0731858333,0.869066538035,0.439169050373,0.000306058808745,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,393502.98847200006,0.06594299999999999,0.07781199999999999,0.7105729999999998,11.838948,0.036093,0.015883000000000005,0.011784000000000003,0.007230000000000002,0.16937299999999997,Loblolly pine - Shortleaf pine - Mixed hardwoods forest,12.17,157,157
RX16,RXFires,39.655,-121.356,RX,1.0,201608010000Z,10.0,CA,USA,06007,2810015000,0.3,1.4,1.8,0.8,2.5,0.0,2.43,0.14,3.2,1.0,0.06,10.0,12.0,12.0,22.0,130.0,150.0,5.86743756849,1.90108027421,1.86122191017,0.00106081447066,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,396439.659856,0.10517000000000001,0.12409299999999998,1.210243,14.910265,0.05946200000000001,0.017611000000000005,0.01988400000000001,0.009430000000000001,0.28583800000000004,Jeffrey pine - Ponderosa pine - Douglas-fir - Black oak forest,8.33,16,16
RX161,RXFires,31.487,-93.868,RX,1.0,201608010000Z,10.0,TX,USA,48403,2810015000,1.2,0.84,0.25,0.5,0.0,0.0,2.0,0.09,1.0,1.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,3.52235095457,0.397336407411,0.199929859981,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,226775.523935,0.035561999999999996,0.04196499999999999,0.3782430000000001,6.641735,0.019341,0.009061999999999999,0.006281,0.004036000000000002,0.09032399999999999,Loblolly pine - Slash pine forest,3.17,161,161
RX162,RXFires,27.054499,-80.950054,RX,1.0,201608010000Z,10.0,FL,USA,12043,2810015000,0.5,4.3,3.7,2.7,0.0,0.0,0.75,0.09,1.6,1.0,0.02,10.0,12.0,12.0,22.0,130.0,150.0,7.12116284791,0.909540332634,0.386913589628,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,459874.754839,0.07338099999999995,0.08658399999999997,0.7833820000000002,13.551667999999998,0.039983000000000005,0.018411,0.013008999999999996,0.008241999999999998,0.186982,Loblolly pine - Slash pine forest with commercial thin,2.69,162,162
RX165,RXFires,30.447194,-87.42176,RX,1.0,201608010000Z,10.0,Unknown,Unknown,01003,2810015000,0.1,0.16,0.14,0.2,0.1,0.0,1.18,0.28,0.0,0.5,0.07,10.0,12.0,12.0,22.0,130.0,150.0,2.29817919485,0.169090165915,0.012562780984,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,146781.79047799998,0.019749000000000003,0.023308000000000006,0.20316300000000007,4.044287999999997,0.010565999999999996,0.005725,0.0033880000000000004,0.002426,0.048757,Longleaf pine / Three-awned grass - Pitcher plant grassland,0.43,165,165
RX166,RXFires,33.312,-79.361,RX,1.0,201608010000Z,10.0,SC,USA,45043,2810015000,0.2,0.5,0.3,0.5,0.2,0.0,6.39,0.17,0.0,1.6,0.04,10.0,12.0,12.0,22.0,130.0,150.0,11.6466346142,0.818269257005,0.0264930143872,0.00075803653458,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,743122.3037730001,0.09884000000000001,0.11662900000000004,1.0137070000000004,20.390124000000007,0.05282000000000003,0.028953000000000007,0.016930000000000004,0.012236999999999994,0.24338800000000002,Longleaf pine / Three-awned grass - Pitcher plant savanna,5.1,166,166
RX17,RXFires,39.566,-120.524,RX,1.0,201608010000Z,10.0,CA,USA,06091,2810015000,0.9,3.1,3.0,1.0,1.0,1.0,0.0,0.04,1.8,4.6,0.02,10.0,12.0,12.0,22.0,130.0,150.0,11.5150692507,19.0619453468,33.1200368515,50.222933005,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1079513.788701,0.9495040000000001,1.1204190000000003,11.763278999999999,91.50454099999999,0.5576050000000001,0.075128,0.19141199999999997,0.062295000000000024,2.751476999999999,Red fir forest,24.97,17,17
RX170,RXFires,34.448,-77.682,RX,1.0,201608010000Z,10.0,NC,USA,37141,2810015000,0.0,0.0,0.0,0.0,0.0,0.0,5.99,0.08,0.0,10.5,0.02,10.0,12.0,12.0,22.0,130.0,150.0,11.6664678293,18.5908263816,63.02408,81.1801,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1144928.581208,1.4381359999999992,1.6970039999999997,17.933322999999998,132.589204,0.847445,0.10210699999999998,0.291565,0.09116300000000004,4.191219,Pond pine / Little gallberry - Fetterbush shrubland,0.85,170,170
