id,event_name,total_area,total_heat,total_pm25,total_pm10,total_pm,total_co,total_co2,total_ch4,total_nmhc,total_nox,total_nh3,total_so2,total_voc,total_bc,total_h2,total_nmoc,total_no,total_no2,total_oc,total_tpc,total_tpm
SF11E1738447,"Unnamed fire in Division No. 18, Sk, Canada",251499.99937537336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1739837,"Unnamed fire in Lincoln County, Montana",10625.999973609223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1744724,"Unnamed fire in Kittitas County, Washington",19549.99995144553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1744734,"Unnamed fire in Yakima County, Washington",4967.999987661459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1748887,"Unnamed fire in Klamath County, Oregon",6761.999983205861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1751017,"Unnamed fire in Division No. 18, Sk, Canada",5499.999986340182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1751138,"Unnamed fire in Idaho County, Idaho",16605.99995875728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1751432,"Unnamed fire in Granite County, Montana",31969.999920599144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1753001,"Unnamed fire in Central Kootenay Regional District, Bc, Canada",499.9999987581979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1754130,"Unnamed fire in Kootenay Boundary Regional District, Bc, Canada",9499.999976405768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1754284,"Unnamed fire in Lewis And Clark County, Montana",26955.99993305194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1754338,"Unnamed fire in Custer County, Idaho",827.999997943576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1754511,"Unnamed fire in Thompson-nicola Regional District, Bc, Canada",499.9999987581974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1755138,"Unnamed fire in Central Kootenay Regional District, Bc, Canada",6699.999983359857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1755248,"Unnamed fire in Lewis And Clark County, Montana",12879.99996801119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1756776,"Unnamed fire in Pend Oreille County, Washington",1287.9999968011189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1758140,"Unnamed fire in Central Kootenay Regional District, Bc, Canada",2899.9999927975496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1759481,"Unnamed fire in Douglas County, Oregon",183.9999995430169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1759620,"Unnamed fire in Shoshone County, Idaho",735.9999981720675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1760025,"Unnamed fire in Columbia-shuswap Regional District, Bc, Canada",499.9999987581979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1760154,"Unnamed fire in Idaho County, Idaho",4231.999989489389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1760992,"Unnamed fire in Division No. 18, Sk, Canada",76699.99980950763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1760995,"Unnamed fire in East Kootenay Regional District, Bc, Canada",17299.99995703364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1762232,"Unnamed fire in Lincoln County, Montana",34545.99991420139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1762575,"Unnamed fire in Routt County, Colorado",22223.999944804375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1763362,"Unnamed fire in Idaho County, Idaho",689.9999982863135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1763786,"Unnamed fire in Division No. 18, Sk, Canada",3299.999991804108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1764767,"Unnamed fire in Idaho County, Idaho",11867.999970524592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1764769,"Unnamed fire in Fort Smith Region, Nt, Canada",76099.99981099775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1764890,"Unnamed fire in Tulare County, California",88359.99978054871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1764916,"Unnamed fire in Idaho County, Idaho",1379.999996572627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1764935,"Unnamed fire in Northern Rockies Regional District, Bc, Canada",1199.9999970196752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1765062,"Unnamed fire in Pend Oreille County, Washington",597.9999985148049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1765155,"Unnamed fire in Division No. 18, Sk, Canada",19499.999951569724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1765265,"Unnamed fire in Chelan County, Washington",4477.999988878423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
