id,event_name,total_area,total_heat,total_pm25,total_pm10,total_pm,total_co,total_co2,total_ch4,total_nmhc,total_nox,total_nh3,total_so2,total_voc,total_bc,total_h2,total_nmoc,total_no,total_no2,total_oc,total_tpc,total_tpm
SF11E100109,"Unnamed fire in Fort Smith Region, Nt, Canada",3031.578939839179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100803,"Unnamed fire in Division No. 18, Sk, Canada",1756.0975566141587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100819,"Unnamed fire in Bethel County, Alaska",2529.032251783401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100836,"Unnamed fire in Division No. 16, Sk, Canada",3119.9999922511547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100925,"Unnamed fire in Division No. 16, Ab, Canada",7300.970855653683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100928,"Unnamed fire in Division No. 21, Mb, Canada",399.9999990065584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100931,"Unnamed fire in Division No. 18, Sk, Canada",1942.8571380318551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100953,"Unnamed fire in Division No. 18, Sk, Canada",399.9999990065584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100972,"Unnamed fire in Yukon-koyukuk County, Alaska",553.8461524706194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E100994,"Unnamed fire in Division No. 17, Ab, Canada",3599.999991059026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E101005,"Unnamed fire in Fort Smith Region, Nt, Canada",2451.4285653401944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E101015,"Unnamed fire in Division No. 18, Sk, Canada",7758.308137831122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
