id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,dum1,event_name,event_url,provincename,server,stream_name,timezone
SF11C2807418-16806434820,SF11E2076420,49.001,-114.415,WF,1476.00986179,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,24.453755188,1.23794573238,0.0,21.9343266225,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,286170642849.77295,293.15453199999996,345.922342,2975.483596000001,62089.708980999996,155.91002600000002,89.00655400000002,49.775639999999996,37.16278099999999,715.5246440000001,c7e0451a-ac12-43e9-ac7e-17c72b1f22f4,Unknown Fire,http://tomcat-sf/smartfire/events/c7e0451a-ac12-43e9-ac7e-17c72b1f22f4,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807419-16806434820,SF11E2049393,48.975,-115.359,WF,14087.576613,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,24.2198622874,1.92848019033,0.0,23.5590897894,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,3001483901648.721,2935.7815810000006,3464.2222550000006,30206.557961000006,600722.9104859998,1571.4707790000002,850.370162,504.279434,360.99943700000006,7249.016828999998,5f7afa54-103a-416a-bb3a-44b80782c610,Unknown Fire,http://tomcat-sf/smartfire/events/5f7afa54-103a-416a-bb3a-44b80782c610,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807421-16806434820,SF11E2049393,48.967,-115.409,WF,1059.34076835,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,25.2207421713,0.912841916996,0.0,22.029616455,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,198967381669.83722,210.585712,248.49112400000007,2121.4947600000005,45422.752466,111.60277899999997,65.53405699999999,35.529869999999995,27.130684,510.741903,5f7afa54-103a-416a-bb3a-44b80782c610,Unknown Fire,http://tomcat-sf/smartfire/events/5f7afa54-103a-416a-bb3a-44b80782c610,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807434-16806434820,SF11E2060184,50.255,-115.275,WF,3330.11566705,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,18.6552521624,2.15580738913,0.0,20.4740788692,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,524561087511.91376,571.6663690000001,674.5663019999998,5968.983435000001,112487.247294,308.15746500000006,156.85904099999996,99.43127199999998,67.91715800000003,1429.3246109999995,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807435-16806434820,SF11E2073313,51.001,-115.772,WF,880.683577884,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,18.9684416703,0.682892221125,0.0,18.4519587391,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,119496914768.71034,131.616506,155.307477,1325.801665,28396.375515,69.74857699999998,40.972652000000004,22.204305999999995,16.960464,319.1868,22ea68d7-730b-4ed1-adc2-99d52a6c159e,Unknown Fire,http://tomcat-sf/smartfire/events/22ea68d7-730b-4ed1-adc2-99d52a6c159e,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807436-16806434820,SF11E2060184,50.29,-115.335,WF,86.5115938881,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,18.6158799874,1.30286733937,0.0,17.7657405768,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,3873465556.243934,13.599002000000004,16.046831,139.316424,2813.8428159999994,7.2643260000000005,3.999721999999999,2.3273040000000003,1.6887419999999997,33.455073000000006,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807437-16806434820,SF11E2027901,49.881,-115.332,WF,1228.83034917,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,14.5760168154,1.95998354649,0.0,18.0597453434,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,140119859077.07385,170.45333900000003,201.13494199999997,1792.113713,32903.738674,92.18870900000002,45.53261999999999,29.822667000000003,19.913539999999994,428.700854,61c65974-5588-4b38-8e82-aca9d824bf7d,Unknown Fire,http://tomcat-sf/smartfire/events/61c65974-5588-4b38-8e82-aca9d824bf7d,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807438-16806434820,SF11E2060184,50.191,-115.311,WF,1148.12573174,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,16.8038402798,2.3951230129,0.0,20.302907705,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,149306057424.807,186.18883899999997,219.70283200000003,1963.041218,35658.365895,100.83498900000001,49.18577899999999,32.653688,21.601963,469.3967570000001,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807439-16806434820,SF11E2060184,50.292,-115.157,WF,1170.90884787,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,14.1369712276,1.82085325006,0.0,18.4652345294,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,128152208392.11201,155.96691100000004,184.04094100000003,1636.4998620000001,30277.776603000002,84.271957,41.99442600000001,27.241165999999996,18.311463,391.59166200000004,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807440-16806434820,SF11E2073172,49.276,-114.728,WF,2161.82613622,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,16.7751646223,0.95423239915,0.0,17.986809248,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,296339286682.019,298.31900600000006,352.01642099999987,3037.2794129999993,62700.116218999996,158.888795,89.63437599999999,50.78566700000001,37.561308999999994,730.044052,503803fc-1bb7-4064-ae1a-49c0821e78f0,Unknown Fire,http://tomcat-sf/smartfire/events/503803fc-1bb7-4064-ae1a-49c0821e78f0,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807441-16806434820,SF11E2049318,49.54,-118.55,WF,1082.98875331,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,17.9354415866,1.73589154582,0.0,21.5393191626,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,147195295777.38226,172.67320900000004,203.75439399999996,1789.6501379999997,34662.50094,92.750598,48.712793999999995,29.844661999999992,20.877753,429.016967,7fff889a-d6db-4b6d-9769-4451618a14ab,Unknown Fire,http://tomcat-sf/smartfire/events/7fff889a-d6db-4b6d-9769-4451618a14ab,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
SF11C2807442-16806434820,SF11E2076420,49.071,-114.291,WF,1454.8082201,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,16.5827729644,0.921061556925,0.0,17.3542074117,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,191316386987.21234,197.91457100000005,233.539186,2013.7115679999997,41665.29085500001,105.379364,59.59859699999999,33.67413899999999,24.955427,484.06587000000013,c7e0451a-ac12-43e9-ac7e-17c72b1f22f4,Unknown Fire,http://tomcat-sf/smartfire/events/c7e0451a-ac12-43e9-ac7e-17c72b1f22f4,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807443-16806434820,SF11E2060184,50.255,-115.27,WF,57.6743959254,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,21.4328110011,2.11735085789,0.0,21.6322666223,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,2816813992.180931,11.030030999999997,13.015442,114.41294399999998,2209.3531270000003,5.927042,3.1023009999999998,1.9077430000000002,1.3310739999999999,27.423871,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807444-16806434820,SF11E2070309,56.967,-105.525,WF,6804.17021853,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,8.13661716098,3.06726836553,0.0,15.0778973487,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,507182567872.7821,750.1554970000001,885.1834919999998,8360.307446000003,120406.09791899999,417.43364199999996,152.928435,137.96895200000003,74.708474,1983.3036709999997,0759095a-7a23-4845-b783-9431fac4dfa7,Unknown Fire,http://tomcat-sf/smartfire/events/0759095a-7a23-4845-b783-9431fac4dfa7,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807445-16806434820,SF11E1999987,55.272,-103.185,WF,6227.79691734,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,14.3795442407,2.33055062297,0.0,17.5138375083,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,777424424334.5718,893.3451120000002,1054.1472269999995,9479.620125000003,167954.825219,485.3181060000001,229.8968610000001,157.538145,101.98573099999999,2264.610739,478f1f41-6a42-49d4-81ce-f2a850184a0d,Unknown Fire,http://tomcat-sf/smartfire/events/478f1f41-6a42-49d4-81ce-f2a850184a0d,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807446-16806434820,SF11E2000002,54.911,-102.747,WF,2376.01708047,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,14.1272121447,2.18333573352,0.0,17.0860920691,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,283009150843.6657,330.644985,390.1610820000001,3500.1021729999998,62601.45271200001,179.41569300000003,85.94129899999997,58.187392,37.97905299999999,836.443755,c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,Unknown Fire,http://tomcat-sf/smartfire/events/c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807447-16806434820,SF11E1999987,55.336,-102.907,WF,3326.38437579,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,10.0420686937,1.91220223807,0.0,13.3001475908,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,287053366428.9113,348.97099699999995,411.7857869999999,3734.905755999999,63967.208434,190.37001799999996,86.61269099999998,61.991937,38.969214,891.1340660000001,478f1f41-6a42-49d4-81ce-f2a850184a0d,Unknown Fire,http://tomcat-sf/smartfire/events/478f1f41-6a42-49d4-81ce-f2a850184a0d,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807448-16806434820,SF11E2076251,55.513,-103.418,WF,5769.86122527,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,12.4432337404,2.16168433292,0.0,15.413340315,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,623910938118.8728,730.1175019999998,861.5386499999998,7775.679871000001,135816.77421100004,397.33948200000003,185.07080499999998,129.15297900000002,82.58298000000002,1856.574085,a4e67e23-c0f4-4b0e-a62d-4677449fe522,Unknown Fire,http://tomcat-sf/smartfire/events/a4e67e23-c0f4-4b0e-a62d-4677449fe522,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807449-16806434820,SF11E2065684,56.389,-105.222,WF,2196.59386332,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,15.5168573844,0.12868739323,0.0,12.2425185514,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,275895432114.3316,252.834629,298.3448729999999,2506.6431860000007,56622.545156999986,132.99119,82.74051299999999,42.083292,33.679573,604.9473290000001,9ee177b1-4739-41c1-ad75-c069ce148ec6,Unknown Fire,http://tomcat-sf/smartfire/events/9ee177b1-4739-41c1-ad75-c069ce148ec6,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807450-16806434820,SF11E2073133,52.244,-116.63,WF,2271.4915043,201709020000-07:00,10.0,AB,Canada,CA01,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,3.39737859484,1.83502084555,0.0,11.8508691011,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,71107883707.27296,125.50670400000001,148.09789799999996,1429.9185040000007,18537.613065999994,70.611533,22.460179999999998,23.525947000000006,11.64765,338.1854550000001,ee3588b7-8a70-44ff-9dd0-afefaf3c2f93,Unknown Fire,http://tomcat-sf/smartfire/events/ee3588b7-8a70-44ff-9dd0-afefaf3c2f93,ALBERTA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807451-16806434820,SF11E2000002,54.905,-102.775,WF,203.244175872,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,12.8473466642,2.62743396003,0.0,17.0928367496,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,7385662161.482443,27.890817000000002,32.91117999999999,299.68678099999994,5051.531171999998,15.244205000000004,6.803861,4.971366999999999,3.0822579999999995,71.463367,c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,Unknown Fire,http://tomcat-sf/smartfire/events/c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807457-16806434820,SF11E2068277,49.31,-115.881,WF,1972.66696706,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,17.7438842628,3.03767595338,0.0,24.0813326825,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,291463144855.8815,354.48451499999993,418.2917259999999,3772.306092,66091.86146,192.84283699999997,90.147742,62.664527,40.175186,900.8025250000003,8322b101-3aa3-4cc1-b327-9843b6cef30f,Unknown Fire,http://tomcat-sf/smartfire/events/8322b101-3aa3-4cc1-b327-9843b6cef30f,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807460-16806434820,SF11E2073313,50.89,-115.91,WF,24.5622748714,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,2.08873991775,3.91085267343,0.0,17.2329311822,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,107273200.485145,1.9711580000000002,2.3259640000000004,23.86765600000001,218.45503300000004,1.1438970000000002,0.21138200000000004,0.38950900000000005,0.144427,5.599196999999998,22ea68d7-730b-4ed1-adc2-99d52a6c159e,Unknown Fire,http://tomcat-sf/smartfire/events/22ea68d7-730b-4ed1-adc2-99d52a6c159e,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807462-16806434820,SF11E2060184,50.28,-115.216,WF,86.5115938881,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,21.1070833505,1.71639114753,0.0,20.6635533596,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,4403215263.730461,15.762978999999996,18.600317,162.30756999999997,3219.2196710000007,8.440618,4.553775,2.7093309999999997,1.9349969999999999,38.946493,6e8def6c-136d-4226-80e2-b6ee2c147456,Unknown Fire,http://tomcat-sf/smartfire/events/6e8def6c-136d-4226-80e2-b6ee2c147456,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807501-16806434820,SF11E1978782,48.84,-120.57,WF,70.6227178898,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,23.1938091052,2.97643759866,0.0,25.0565394579,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,3870641677.3495574,15.420829,18.196582,161.77720000000008,2995.0559999999996,8.331489000000001,4.154853000000001,2.6930060000000005,1.8112499999999996,38.712001,f7c6429f-f39d-47ec-a57d-1ca64a49abe2,Unknown Fire,http://tomcat-sf/smartfire/events/f7c6429f-f39d-47ec-a57d-1ca64a49abe2,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
SF11C2807502-16806434820,SF11E1978782,48.906,-120.514,WF,423.736307339,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,23.17502258,3.37714371797,0.0,25.8982435824,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,44410916238.36787,95.29102000000002,112.44341,1005.768703,18193.74007,51.634064,25.063996999999997,16.727542999999997,11.026100999999999,240.45841099999996,f7c6429f-f39d-47ec-a57d-1ca64a49abe2,Unknown Fire,http://tomcat-sf/smartfire/events/f7c6429f-f39d-47ec-a57d-1ca64a49abe2,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
SF11C2807508-16806434820,SF11E1978782,48.98,-120.55,WF,70.6227178898,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,22.5021323888,4.29232746469,0.0,27.4032383036,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,3810835510.821539,16.610854999999997,19.60081,177.79670299999998,3043.932517000001,9.061942,4.1210189999999995,2.951031000000001,1.854444,42.421021999999994,f7c6429f-f39d-47ec-a57d-1ca64a49abe2,Unknown Fire,http://tomcat-sf/smartfire/events/f7c6429f-f39d-47ec-a57d-1ca64a49abe2,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
SF11C2807509-16806434820,SF11E2068269,51.347,-117.38,WF,773.242158225,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,14.9230699092,2.00936541872,0.0,18.1373485625,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,80897498557.27403,109.84655400000001,129.61893500000002,1154.979582,21200.594803,59.41169899999999,29.335510999999997,19.219912,12.831017999999997,276.2860880000001,91fed973-9ea7-4cfc-9025-b64f400e9940,Unknown Fire,http://tomcat-sf/smartfire/events/91fed973-9ea7-4cfc-9025-b64f400e9940,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807510-16806434820,SF11E2000002,54.86,-102.668,WF,5815.94637883,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,12.231234972,2.28530023361,0.0,16.1052879413,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,620211139797.5876,738.9305290000001,871.9380140000001,7900.322869999999,135869.080713,402.89769800000005,184.21801999999997,131.14909499999996,82.73884699999998,1885.2682329999993,c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,Unknown Fire,http://tomcat-sf/smartfire/events/c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807511-16806434820,SF11E2000002,54.979,-102.62,WF,418.398831109,201709020000-06:00,10.0,SK,Canada,CA11,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,17.0724126819,1.46777286286,0.0,16.8104174363,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,20,5,8,31537587548.996014,62.21556000000001,73.41435900000002,641.9107150000001,12639.445838999996,33.346628,17.843864000000004,10.711885999999998,7.602040000000001,153.98332199999996,c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,Unknown Fire,http://tomcat-sf/smartfire/events/c033dc9e-2f73-4a0c-b114-b6b5d4f7cd85,SASKATCHEWAN,tomcat-sf,CWFIS-Hotspots,-6.0
SF11C2807516-16806434820,SF11E2045523,50.134,-116.624,WF,1524.09656893,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,19.2010946292,1.54283761984,0.0,19.7107567975,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,234066123553.75925,252.15332600000002,297.54091999999997,2595.2617260000006,51553.08948600001,134.993667,72.95475899999998,43.32418600000001,30.983446999999998,622.7851860000003,83a24d95-8272-48da-beaa-7414f6c0f2ed,Unknown Fire,http://tomcat-sf/smartfire/events/83a24d95-8272-48da-beaa-7414f6c0f2ed,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
SF11C2807517-16806434820,SF11E2075235,50.342,-115.6,WF,951.627532769,201709020000-07:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,22.3298649854,3.08651195651,0.0,24.3258474291,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,19,5,8,158603526101.53073,203.549595,240.18851600000002,2142.8960110000007,39147.42196900001,110.15829100000003,54.091303,35.653185,23.703184,512.514548,8abf8773-85d4-4b0e-815e-abee1554d41d,Unknown Fire,http://tomcat-sf/smartfire/events/8abf8773-85d4-4b0e-815e-abee1554d41d,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-7.0
SF11C2807521-16806434820,SF11E1978782,48.91,-120.45,WF,70.6227178898,201709020000-08:00,10.0,BC,Canada,CA02,2810001000,7.0,8.0,9.0,12.0,80.0,40.0,23.2692379846,3.2536425325,0.0,25.6773177178,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,5,19,5,8,3893682974.475121,15.785212999999999,18.626546,166.27318499999998,3031.116245,8.545033000000002,4.1855129999999985,2.7662019999999994,1.835664,39.764182999999996,f7c6429f-f39d-47ec-a57d-1ca64a49abe2,Unknown Fire,http://tomcat-sf/smartfire/events/f7c6429f-f39d-47ec-a57d-1ca64a49abe2,BRITISH COLUMBIA,tomcat-sf,CWFIS-Hotspots,-8.0
