id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,fccs_number
WF51,Wildfires,36.316,-121.808,WF,100.0,201608010000Z,10.0,CA,USA,06053,2810001000,0.1,0.1,0.0,0.0,0.0,0.0,3.48,0.0,0.0,1.0,0.0,7.0,8.0,9.0,12.0,80.0,40.0,9.73182040559,0.778367812584,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,2377699041.455789,8.379325,9.887597999999999,86.22930400000001,1713.8863070000002,4.485640000000001,2.4257599999999995,1.439506,1.0299930000000002,20.692949,Coastal sage shrubland,0.0,51
WF52,Wildfires,46.177,-114.198,WF,100.0,201608010000Z,10.0,MT,USA,30081,2810001000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.5342169728,4.11581184289,3.07629591419,2.67918384103,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,3252972192.987191,21.070995000000003,24.863777,240.91634699999997,3068.3597439999985,11.875858000000006,3.685456999999998,3.961803,1.9322449999999993,56.95079899999998,Douglas-fir - ponderosa pine forest,13.52,52
WF55,Wildfires,44.407,-118.285,WF,100.0,201608010000Z,10.0,OR,USA,41001,2810001000,0.2,0.4,0.8,0.0,0.0,0.0,0.45,0.31,0.0,0.2,0.31,7.0,8.0,9.0,12.0,80.0,40.0,4.28808875834,0.307106721827,0.031376,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1045793499.464625,3.684525000000001,4.347726000000003,37.89852899999999,754.5436409999998,1.971978,1.0684389999999993,0.6327199999999997,0.45339699999999955,9.095372000000001,Western juniper / Sagebrush savanna,4.48,55
WF56,Wildfires,46.375,-119.577,WF,100.0,201608010000Z,10.0,WA,USA,53005,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,1.57,0.36,0.0,1.0,0.36,7.0,8.0,9.0,12.0,80.0,40.0,3.02423218702,0.185990756267,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,735886488.922383,2.5109779999999997,2.9629510000000003,25.621944000000006,524.8159899999998,1.338785,0.7487459999999999,0.42827400000000004,0.31460400000000005,6.1564630000000005,Sagebrush shrubland,0.0,56
WF57,Wildfires,46.363,-119.516,WF,100.0,201608010000Z,10.0,WA,USA,53005,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,1.0,0.04,7.0,8.0,9.0,12.0,80.0,40.0,0.0978582351117,0.00515043342693,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,23764212.024793997,0.079805,0.09416999999999999,0.8108329999999999,16.861036999999996,0.042461000000000006,0.024148,0.013557,0.010099000000000002,0.194947,Wheatgrass - Cheatgrass grassland,0.0,57
WF59,Wildfires,40.714,-111.038,WF,100.0,201608010000Z,10.0,UT,USA,49043,2810001000,0.5,1.0,2.0,6.3,3.9,0.3,1.0,0.26,10.5,3.2,0.04,7.0,8.0,9.0,12.0,80.0,40.0,16.3426260563,19.8651835084,35.0855103654,40.1324584578,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,5332779844.11156,103.111222,121.67124900000003,1269.6875969999992,10336.017820999998,60.361317999999976,8.934598000000003,20.675884999999983,6.976131999999998,297.2158859999998,Subalpine fir - Engelmann spruce - Douglas-fir - Lodgepole pine forest,5.85,59
WF6,Wildfires,40.478,-123.166,WF,100.0,201608010000Z,10.0,CA,USA,06105,2810001000,0.1,0.4,0.8,2.6,2.2,0.0,1.1,0.51,1.7,0.3,0.19,7.0,8.0,9.0,12.0,80.0,40.0,11.9323326069,3.26171854444,2.29997315668,0.00132353444987,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,3054307404.1354866,17.925117999999998,21.151636,202.38705100000004,2742.2706190000004,10.039413,3.3919700000000015,3.3339440000000007,1.7137249999999995,47.92539599999997,Oregon white oak - Douglas-fir forest,12.23,6
WF60,Wildfires,43.461,-111.901,WF,100.0,201608010000Z,10.0,ID,USA,16019,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.11,0.0,1.0,0.09,7.0,8.0,9.0,12.0,80.0,40.0,0.620784150908,0.0455434978896,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,151469306.416223,0.5276679999999999,0.6226539999999999,5.414172,108.75501499999999,0.28208200000000005,0.15435599999999997,0.090425,0.0653,1.2998399999999999,Sagebrush Shrubland - Sparse,0.0,60
WF61,Wildfires,43.589,-109.956,WF,100.0,201608010000Z,10.0,WY,USA,56013,2810001000,0.1,0.4,1.7,4.4,13.6,0.0,0.43,0.12,24.9,1.3,0.08,7.0,8.0,9.0,12.0,80.0,40.0,19.414114857,16.4475081102,18.2295251116,4.26904193903,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,5742765156.890365,71.714721,84.62335699999997,866.8447199999997,8025.695166000001,41.57995699999998,7.841785999999999,14.149732999999998,5.295421,203.40246399999998,Whitebark pine / Subalpine fir forest,11.45,61
WF63,Wildfires,48.076,-120.579,WF,100.0,201608010000Z,10.0,WA,USA,53007,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.28,0.0,0.0,0.07,7.0,8.0,9.0,12.0,80.0,40.0,1.22400098993,0.0644211047332,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,297241670.89755696,0.998221,1.177894,10.141940000000002,210.89797899999996,0.531142,0.30206099999999997,0.169637,0.126266,2.4384959999999998,Showy sedge - Alpine black sedge grassland,0.0,63
