id,event_name,total_area,total_heat,total_pm25,total_pm10,total_pm,total_co,total_co2,total_ch4,total_nmhc,total_nox,total_nh3,total_so2,total_voc,total_bc,total_h2,total_nmoc,total_no,total_no2,total_oc,total_tpc,total_tpm
SF11E1056918,Quartz Creek Fire,0.007226086168490667,19.401058000000003,0.0014480000000000014,0.0017080000000000012,0,0.016641999999999987,0.21465599999999993,0.0008060000000000007,0,0.00025,0.0002499999999999999,0.00011,0.003928000000000003,0,0,0,0,0,0,0,0
SF11E1056977,Hornet Fire,0.0122322315760492,46.95030199999999,0.0035480000000000025,0.004141999999999996,0,0.039509999999999976,0.5665840000000002,0.0019140000000000014,0,0.0006839999999999999,0.0005939999999999999,0.000292,0.009354000000000001,0,0,0,0,0,0,0,0
SF11E1080534,"Unnamed fire in Yukon-koyukuk County, Alaska",525.1152184998126,25246166548.15527,172.6564459999999,203.734622,0,2000.12266,23799.472636,97.95587799999998,0,27.58717399999999,32.83294599999999,15.121386,471.973386,0,0,0,0,0,0,0,0
SF11E1086478,"Unnamed fire in Fort Smith Region, Nt, Canada",1999.9999950327915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088022,"Unnamed fire in Fort Smith Region, Nt, Canada",199.9999995032792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088415,"Unnamed fire in Fort Smith Region, Nt, Canada",1399.9999965229551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088437,Madera Fire,0.11458167939390285,3130.5177759999997,0.010770000000000009,0.012698000000000008,0,0.117044,1.882278,0.005902000000000001,0,0.0024819999999999972,0.0019260000000000015,0.0011440000000000007,0.02788199999999999,0,0,0,0,0,0,0,0
SF11E1088574,"Unnamed fire in Northern Rockies Regional District, Bc, Canada",199.9999995032791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088580,Freeze Fire,0.09462731887309259,987.7079040000001,0.004372000000000003,0.005192000000000001,0,0.04835399999999999,0.7413299999999998,0.002425999999999998,0,0.0009340000000000002,0.0007820000000000008,0.00044599999999999994,0.011496000000000006,0,0,0,0,0,0,0,0
SF11E1088836,"Unnamed fire in Fort Smith Region, Nt, Canada",99.99999975163965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088970,"Unnamed fire in Division No. 17, Ab, Canada",199.99999950327918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1088974,"Unnamed fire in Fort Smith Region, Nt, Canada",499.99999875819833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1089119,"Unnamed fire in Yukon, Yt, Canada",799.9999980131166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1090764,"Unnamed fire in Fort Smith Region, Nt, Canada",199.99999950327924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1090854,"Unnamed fire in Division No. 18, Sk, Canada",299.9999992549188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091130,"Unnamed fire in Division No. 17, Ab, Canada",1799.9999955295116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091153,"Unnamed fire in Fort Smith Region, Nt, Canada",799.9999980131169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091406,"Unnamed fire in Division No. 17, Ab, Canada",399.9999990065583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091419,"Unnamed fire in Northern Rockies Regional District, Bc, Canada",99.9999997516396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091488,"Unnamed fire in Division No. 14, Sk, Canada",99.9999997516396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF11E1091621,"Unnamed fire in Fort Smith Region, Nt, Canada",799.9999980131172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
