id,event_id,latitude,longitude,type,area,date_time,slope,state,country,fips,scc,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,moisture_1hr,moisture_10hr,moisture_100hr,moisture_1khr,moisture_live,moisture_duff,consumption_flaming,consumption_smoldering,consumption_residual,consumption_duff,min_wind,max_wind,min_wind_aloft,max_wind_aloft,min_humid,max_humid,min_temp,max_temp,min_temp_hour,max_temp_hour,sunrise_hour,sunset_hour,snow_month,rain_days,heat,pm25,pm10,co,co2,ch4,nox,nh3,so2,voc,VEG,canopy,event_url,fccs_number,sf_event_guid,sf_server,sf_stream_name
SF11C18880120013307560,SF11E106301,32.185,-114.984,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/ec576005-1bcb-460b-b62c-2680755e18d7,,ec576005-1bcb-460b-b62c-2680755e18d7,128.208.123.111,realtime
SF11C18880220013307560,SF11E106302,32.435,-115.103,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/8da5409a-7e97-40c4-afd6-34ce7fbc13b3,,8da5409a-7e97-40c4-afd6-34ce7fbc13b3,128.208.123.111,realtime
SF11C18880320013307560,SF11E106242,33.819,-115.413,WF,199.999999503,201507150000Z,10.0,CA,USA,06065,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.18,7.0,8.0,9.0,12.0,80.0,40.0,0.403983023277,0.0277424072927,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,220249858.30766398,0.6804750000000003,0.8029649999999999,6.967012999999999,141.019216,0.3634000000000001,0.20057100000000003,0.11640099999999999,0.08461500000000001,1.67319,Palo verde ahrubland,0.0,http://128.208.123.111/smartfire/events/24932f1e-b541-4bc9-9eb3-703f92b951a1,307,24932f1e-b541-4bc9-9eb3-703f92b951a1,128.208.123.111,realtime
SF11C18880420013307560,SF11E106297,32.435,-115.275,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/6e0b8759-61eb-4650-84d8-dc1e8bd9f87a,,6e0b8759-61eb-4650-84d8-dc1e8bd9f87a,128.208.123.111,realtime
SF11C18880520013307560,SF11E106336,40.048,-117.016,WF,199.999999503,201507150000Z,10.0,NV,USA,32015,2810001000,0.0,0.0,0.0,0.0,0.0,0.0,1.34,0.11,0.0,0.0,0.09,7.0,8.0,9.0,12.0,80.0,40.0,0.620784150908,0.0455434978896,0.0,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,338812607.525502,1.055355,1.24531,10.828330000000001,217.51001499999995,0.564163,0.308729,0.180849,0.13060699999999997,2.599687,Sagebrush Shrubland - Sparse,0.0,http://128.208.123.111/smartfire/events/0651a498-f298-4b49-865d-5927108ecc55,60,0651a498-f298-4b49-865d-5927108ecc55,128.208.123.111,realtime
SF11C18880620013307560,SF11E106264,51.274,-121.616,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/7d348baa-21e7-4a10-8510-00c9ce609c57,,7d348baa-21e7-4a10-8510-00c9ce609c57,128.208.123.111,realtime
SF11C18880720013307560,SF11E106254,46.798,-120.934,WF,45.9999998858,201507150000Z,10.0,WA,USA,53077,2810001000,0.4,0.9,0.4,0.4,1.1,0.6,0.22,0.15,2.8,1.1,0.06,7.0,8.0,9.0,12.0,80.0,40.0,12.5342169728,4.11581184289,3.07629591419,2.67918384103,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1307653296.4064891,9.692664000000004,11.437339000000009,110.82152000000002,1411.445487000001,5.462898000000003,1.6953160000000007,1.8224270000000002,0.8888299999999996,26.19736699999999,Douglas-fir - ponderosa pine forest,13.52,http://128.208.123.111/smartfire/events/ec8566fa-8fbc-4add-9f73-f40b9e27006a,52,ec8566fa-8fbc-4add-9f73-f40b9e27006a,128.208.123.111,realtime
SF11C18880820013307560,SF11E109252,50.696,-123.438,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/15973a48-5200-4ff6-8931-496707e409e1,,15973a48-5200-4ff6-8931-496707e409e1,128.208.123.111,realtime
SF11C18880920013307560,SF11E109252,50.559,-123.467,RX,99.9999997516,201507150000Z,10.0,Unknown,Unknown,-9999,2810015000,,,,,,,,,,,,10.0,12.0,12.0,22.0,130.0,150.0,,,,,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,,,,,,,,,,,,,http://128.208.123.111/smartfire/events/15973a48-5200-4ff6-8931-496707e409e1,,15973a48-5200-4ff6-8931-496707e409e1,128.208.123.111,realtime
SF11C18881020013307560,SF11E106268,36.574,-119.57,WF,99.9999997516,201507150000Z,10.0,CA,USA,06019,2810001000,0.5,0.25,0.25,0.0,0.0,0.0,2.2,0.0,1.0,0.0,1.0,7.0,8.0,9.0,12.0,80.0,40.0,4.63138098717,0.514215749869,0.46190463459,0.0,6.0,6.0,6.0,6.0,40.0,80.0,13.0,30.0,4,14,6,18,5,8,1139782670.097083,4.992754000000001,5.891440000000001,53.733511000000014,899.8200079999999,2.731011000000001,1.2092999999999994,0.89115,0.549395,12.810334999999993,Urban,0.0,http://128.208.123.111/smartfire/events/871b4977-9b8e-447d-b0cf-c19fd9745eec,0,871b4977-9b8e-447d-b0cf-c19fd9745eec,128.208.123.111,realtime
